name,country,lat,lon,month,tmin,tmax,sun_days_gt5h,sun_coverage,sun_source
Andorre-la-Vieille,AD,42.507,1.522,1,0.149,10.682,5.218,0.0,spatial_fill
Andorre-la-Vieille,AD,42.507,1.522,2,1.567,13.793,9.408,0.0,spatial_fill
Andorre-la-Vieille,AD,42.507,1.522,3,3.226,15.209,10.109,0.0,spatial_fill
Andorre-la-Vieille,AD,42.507,1.522,4,5.37,17.992,14.081,0.0,spatial_fill
Andorre-la-Vieille,AD,42.507,1.522,5,8.742,20.924,14.24,0.0,spatial_fill
Andorre-la-Vieille,AD,42.507,1.522,6,13.385,25.649,19.268,0.0,spatial_fill
Andorre-la-Vieille,AD,42.507,1.522,7,15.253,28.076,25.503,0.0,spatial_fill
Andorre-la-Vieille,AD,42.507,1.522,8,15.029,28.503,24.973,0.0,spatial_fill
Andorre-la-Vieille,AD,42.507,1.522,9,11.641,24.34,18.855,0.0,spatial_fill
Andorre-la-Vieille,AD,42.507,1.522,10,8.34,20.452,11.031,0.0,spatial_fill
Andorre-la-Vieille,AD,42.507,1.522,11,3.402,14.44,8.739,0.0,spatial_fill
Andorre-la-Vieille,AD,42.507,1.522,12,1.425,12.183,5.36,0.0,spatial_fill
Graz,AT,47.0673,15.442,1,-2.572,4.598,11.903,0.681,station
Graz,AT,47.0673,15.442,2,-0.081,8.439,14.978,0.664,station
Graz,AT,47.0673,15.442,3,2.225,12.118,16.709,0.645,station
Graz,AT,47.0673,15.442,4,5.918,16.59,17.788,0.653,station
Graz,AT,47.0673,15.442,5,10.154,19.708,15.131,0.594,station
Graz,AT,47.0673,15.442,6,15.245,25.617,22.732,0.66,station
Graz,AT,47.0673,15.442,7,16.253,26.697,24.23,0.632,station
Graz,AT,47.0673,15.442,8,16.132,26.229,22.029,0.674,station
Graz,AT,47.0673,15.442,9,12.173,21.356,18.899,0.69,station
Graz,AT,47.0673,15.442,10,7.585,16.343,15.498,0.684,station
Graz,AT,47.0673,15.442,11,2.454,8.696,8.667,0.663,station
Graz,AT,47.0673,15.442,12,-1.088,4.85,7.77,0.716,station
Innsbruck,AT,47.2627,11.3945,1,-3.122,4.789,9.633,0.697,station
